name,address,city,postcode,latitude,longitude,website,logo
Parkland,200 Prystai Way,Yorkton,S3N 4G4,51.217686,-102.474823,https://parklandcollege.sk.ca/admissions/international/overview.html,https://www.canamgroup.com/assets/universitylogos/1659005294-parkland-college.png
Great Plains,129 2 Ave NE,Swift Current,S9H 2C6,50.28354,-107.797267,https://www.greatplainscollege.ca/international,https://crampete.s3.ap-south-1.amazonaws.com/uploads/kanan/2020/7/1593845252091_GREAT-PLAINS-COLLEGE.jpg
Cumberland,400 Burns Ave E,Melfort,S0E 1A0,52.861384,-104.610115,https://www.cumberlandcollege.sk.ca/,https://www.collegesinstitutes.ca/wp-content/uploads/2015/11/logo-cumberlandcollege.jpg
Southeast,708 5th Ave,Whitewood,S0G 5C0,50.331053,-102.268587,https://www.southeastcollege.org/,https://www.vmcdn.ca/f/files/glaciermedia/import/sk/963467-se-college.png;w=960
North West,10702 Diefenbaker Dr,North Battleford,S9A 4A8,52.783083,-108.287781,https://northwestcollege.ca/international_students.html,https://scontent.fyto1-1.fna.fbcdn.net/v/t39.30808-6/277763173_396519065812312_1777718712490771277_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=09cbfe&_nc_ohc=GoWG_3fCkXAAX88Hj8Q&_nc_ht=scontent.fyto1-1.fna&oh=00_AfAV38MGbwzYwMtpeXdhv1A_Pm4jTUwow2cGAsFds0-cTw&oe=63A06AD6
